id,device,timestamp,accuracy,azimuth,pitch,roll,timestamp
b0f3a672-fb01-4924-a82c-5bbf728fc383-2785,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.370403,3,36.046875,131.71875,-40.1875,1381195859.370403
b0f3a672-fb01-4924-a82c-5bbf728fc383-2786,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.400372,3,80.078125,54.578125,-27.09375,1381195859.400372
b0f3a672-fb01-4924-a82c-5bbf728fc383-2787,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.430374,3,85.96875,62.171875,-27.671875,1381195859.430374
b0f3a672-fb01-4924-a82c-5bbf728fc383-2788,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.460529,3,103.78125,56.0625,-31.46875,1381195859.460529
b0f3a672-fb01-4924-a82c-5bbf728fc383-2789,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.490731,3,141.17188,33.390625,-55.828125,1381195859.490731
b0f3a672-fb01-4924-a82c-5bbf728fc383-2790,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.520356,3,145.84375,36.28125,-44,1381195859.520356
b0f3a672-fb01-4924-a82c-5bbf728fc383-2791,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.550389,3,69.359375,129.29688,-27.0625,1381195859.550389
b0f3a672-fb01-4924-a82c-5bbf728fc383-2792,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.580377,3,90.453125,74.46875,-3.75,1381195859.580377
b0f3a672-fb01-4924-a82c-5bbf728fc383-2793,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.611138,3,96.28125,82.015625,-1.421875,1381195859.611138
b0f3a672-fb01-4924-a82c-5bbf728fc383-2794,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.640369,3,83.609375,103.4375,-6.171875,1381195859.640369
b0f3a672-fb01-4924-a82c-5bbf728fc383-2795,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.670363,3,105.875,46.3125,-39.3125,1381195859.670363
b0f3a672-fb01-4924-a82c-5bbf728fc383-2796,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.701038,3,93.0625,98.28125,-0.640625,1381195859.701038
b0f3a672-fb01-4924-a82c-5bbf728fc383-2797,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.730371,3,83.953125,114.640625,4.3125,1381195859.730371
b0f3a672-fb01-4924-a82c-5bbf728fc383-2798,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.7604,3,27.546875,158.9375,-17.15625,1381195859.7604
b0f3a672-fb01-4924-a82c-5bbf728fc383-2800,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.790407,3,99.40625,169.21875,20.671875,1381195859.790407
b0f3a672-fb01-4924-a82c-5bbf728fc383-2801,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.820453,3,127.609375,153.78125,55.0625,1381195859.820453
b0f3a672-fb01-4924-a82c-5bbf728fc383-2802,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.850378,3,119.671875,116.640625,26.53125,1381195859.850378
b0f3a672-fb01-4924-a82c-5bbf728fc383-2803,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.880373,3,119.328125,45.359375,-13.671875,1381195859.880373
b0f3a672-fb01-4924-a82c-5bbf728fc383-2804,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.91039,3,119.203125,40.234375,-43.9375,1381195859.91039
b0f3a672-fb01-4924-a82c-5bbf728fc383-2805,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.940369,3,186.84375,146.82813,-56.703125,1381195859.940369
b0f3a672-fb01-4924-a82c-5bbf728fc383-2806,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195859.970382,3,146.57813,73.5625,12.65625,1381195859.970382
b0f3a672-fb01-4924-a82c-5bbf728fc383-2807,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.000621,3,131.03125,51.25,-2.265625,1381195860.000621
b0f3a672-fb01-4924-a82c-5bbf728fc383-2808,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.034069,3,106.359375,136.76563,8.21875,1381195860.034069
b0f3a672-fb01-4924-a82c-5bbf728fc383-2809,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.06185,3,150.57813,-178.15625,80.9375,1381195860.06185
b0f3a672-fb01-4924-a82c-5bbf728fc383-2810,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.090541,3,89.234375,133.82813,-13.4375,1381195860.090541
b0f3a672-fb01-4924-a82c-5bbf728fc383-2811,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.120566,3,60.40625,121.78125,-25.578125,1381195860.120566
b0f3a672-fb01-4924-a82c-5bbf728fc383-2812,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.1505,3,53.5625,127.140625,-36.828125,1381195860.1505
b0f3a672-fb01-4924-a82c-5bbf728fc383-2813,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.180557,3,92.421875,27.578125,-30.65625,1381195860.180557
b0f3a672-fb01-4924-a82c-5bbf728fc383-2814,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.210559,3,69.984375,122.359375,-31.4375,1381195860.210559
b0f3a672-fb01-4924-a82c-5bbf728fc383-2815,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.241335,3,65.53125,123.671875,-2.40625,1381195860.241335
b0f3a672-fb01-4924-a82c-5bbf728fc383-2816,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.272903,3,84.609375,85.234375,4.375,1381195860.272903
b0f3a672-fb01-4924-a82c-5bbf728fc383-2817,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.300374,3,111.25,37.828125,-39.578125,1381195860.300374
b0f3a672-fb01-4924-a82c-5bbf728fc383-2818,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.334529,3,136.59375,134.6875,-44.359375,1381195860.334529
b0f3a672-fb01-4924-a82c-5bbf728fc383-2819,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.360541,3,137.01563,46.5625,-43.125,1381195860.360541
b0f3a672-fb01-4924-a82c-5bbf728fc383-2820,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.39045,3,136.73438,49.921875,-34.703125,1381195860.39045
b0f3a672-fb01-4924-a82c-5bbf728fc383-2821,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.420383,3,140.8125,44.359375,-43.515625,1381195860.420383
b0f3a672-fb01-4924-a82c-5bbf728fc383-2822,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.45037,3,173.375,140,-48.953125,1381195860.45037
b0f3a672-fb01-4924-a82c-5bbf728fc383-2823,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.480374,3,91.5625,129.32813,-36.03125,1381195860.480374
b0f3a672-fb01-4924-a82c-5bbf728fc383-2824,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.510384,3,101.765625,103.8125,13.46875,1381195860.510384
b0f3a672-fb01-4924-a82c-5bbf728fc383-2825,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.540412,3,102.03125,78.078125,-7.765625,1381195860.540412
b0f3a672-fb01-4924-a82c-5bbf728fc383-2826,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.570881,3,91.046875,101.0625,-8.109375,1381195860.570881
b0f3a672-fb01-4924-a82c-5bbf728fc383-2827,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.600421,3,115.78125,33.5,-43.125,1381195860.600421
b0f3a672-fb01-4924-a82c-5bbf728fc383-2828,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.630376,3,185.75,138.20313,-48.09375,1381195860.630376
b0f3a672-fb01-4924-a82c-5bbf728fc383-2829,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.660384,3,139.39063,98.296875,6.75,1381195860.660384
b0f3a672-fb01-4924-a82c-5bbf728fc383-2830,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.690406,3,110.40625,127.859375,9.09375,1381195860.690406
b0f3a672-fb01-4924-a82c-5bbf728fc383-2831,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.720345,3,100.875,146.10938,11.5,1381195860.720345
b0f3a672-fb01-4924-a82c-5bbf728fc383-2832,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.750367,3,119.640625,142.76563,42.140625,1381195860.750367
b0f3a672-fb01-4924-a82c-5bbf728fc383-2834,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.780755,3,115.625,64.953125,22.28125,1381195860.780755
b0f3a672-fb01-4924-a82c-5bbf728fc383-2835,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.810374,3,111.71875,61.046875,1.984375,1381195860.810374
b0f3a672-fb01-4924-a82c-5bbf728fc383-2836,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.840402,3,125.296875,28.375,-51.5625,1381195860.840402
b0f3a672-fb01-4924-a82c-5bbf728fc383-2837,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.870539,3,89.515625,58.0625,-31.921875,1381195860.870539
b0f3a672-fb01-4924-a82c-5bbf728fc383-2838,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.900387,3,98.953125,69.34375,12.296875,1381195860.900387
b0f3a672-fb01-4924-a82c-5bbf728fc383-2839,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.930365,3,107.125,48.0625,-5.796875,1381195860.930365
b0f3a672-fb01-4924-a82c-5bbf728fc383-2840,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.960391,3,84.59375,142.42188,1.125,1381195860.960391
b0f3a672-fb01-4924-a82c-5bbf728fc383-2841,6b4eb937-f797-4327-89b6-bab34b8f750c,1381195860.990374,3,133.28125,177.17188,85.234375,1381195860.990374
